Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Tesla,0,0,0,0,0,0,0,0,0,2.52,2.97,3.86,18.51,27.95,31.54,34.42,52.32,57.44,75.71,668.9,1061,388.97,782.48
Toyota,93.89,96.72,118.64,136.33,170.95,217.7,169.76,102.62,130.75,123.89,103.51,14705,193.9,198.99,191.06,197.39,191.03,165.27,196.93,215.71,186.35,186.35,236.38
BYD,0,0,0,0,0,0,0,0,0,0,7.36,7.47,13.61,13.2,20.55,17.78,26.03,19.28,16.94,78.03,122.49,93.89,92.72
Porsche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.11,85.61
Mercedes,50.86,31.17,47.18,48.44,52.01,63.5,98.44,34.61,54.62,71.93,46.84,58.35,92.92,89.73,90.74,80,90.44,56.18,56.16,76.04,81.88,70.09,72.84
BMW,0,0,0,0,0,0,39.95,19.19,29.16,49.84,42.88,61.55,75.5,70.22,68.9,60.71,67.33,52.67,52.83,57.39,65.11,58.6,65.74
Volkswagen,15.42,11.08,15.31,14,16.34,31.69,61.99,51.2,42.27,68.89,64.99,102.37,128.25,105.52,76.13,71.97,100.48,79.25,98.16,100.86,128,72.28,61.02
Stellantis,0,0,0,0,0,0,0,0,0,0,0,0,9.87,19.77,23.98,15.55,34.64,28.42,29.21,36.5,58.76,45.62,57.68
Honda,39.71,35.19,43.84,48.42,53.79,72.1,60.13,39.15,60.92,71.09,54.46,65.92,74.37,53.19,58.48,52.91,60.84,46.17,49.73,48.17,48.04,38.67,53.92
Ferrari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.54,14.26,25.62,24.26,41.19,57.56,47.35,39.36,53.23
