Region,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
North America,United States of America,"945,432","883,442","1,225,567","1,281,450","1,336,006","1,361,240","1,370,226","1,249,115","1,209,141","1,163,699","1,011,496","1,145,535","1,125,032"
North America,Canada,"458,592","422,926","485,198","509,646","614,702","599,370","606,787","543,250","465,617","477,875","452,723","393,166","454,314"
North America,Mexico,"54,048","50,351","56,322","66,881","72,957","126,810","143,926","150,902","198,745","182,093","182,324","236,956","263,136"
Latin America,Brazil,"66,237","67,768","98,297","140,178","168,552","175,026","177,390","203,000","212,981","174,004","114,009","188,872","227,374"
Latin America,Argentina,"69,950","72,925","94,926","94,792","93,997","77,290","104,854","130,350","140,398","119,307","98,504","146,534","171,087"
Latin America,Venezuela,"14,061","10,456","11,136","7,122","3,872","2,238",830,"1,040",542,491,0,0,0
Europe,United Kingdom,"136,927","123,747","120,366","180,647","171,560","195,917","170,656","140,781","126,521","148,514","127,442","120,003","99,230"
Europe,Turkey,"83,384","88,723","64,509","125,749","126,579","110,653","199,130","274,548","256,523","249,014","225,186","220,463","201,307"
Europe,France,"158,504","170,817","184,055","200,160","235,676","226,683","236,289","235,669","251,669","214,656","200,195","196,460","266,709"
Europe,Russia,0,0,0,0,"22,647","31,681","31,277","30,050","44,667","61,941","67,283","72,503",0
Europe,Czech Republic,"82,920","88,716","70,314","69,617","80,429","90,009","88,598","91,204","100,794","98,573","77,280","97,303","204,061"
Europe,Kazakhstan,0,0,0,0,750,324,48,0,0,0,0,0,0
Asia,Indonesia,"264,622","324,900","416,260","430,070","412,114","353,514","406,861","347,892","179,408","185,838","106,661","215,644","264,440"
Asia,Thailand,"629,944","560,604","885,032","832,729","696,227","580,800","530,269","540,053","609,032","532,685","457,102","551,660","667,522"
Asia,Philippines,"28,432","26,465","30,718","38,334","43,260","48,394","60,275","57,824","44,516","52,492","37,630","47,370","55,044"
Asia,Malaysia,"65,137","62,721","70,719","63,763","72,348","71,330","50,891","56,653","48,993","54,175","56,329","58,408","86,972"
Asia,Taiwan,"117,696","155,339","167,480","172,888","202,722","176,636","132,778","111,561","84,672","106,710","98,960","114,915","125,082"
Asia,Vietnam,"30,618","25,614","22,809","30,942","39,046","45,626","50,112","43,994","50,900","50,734","40,286","29,283","33,786"
Asia,India,"75,515","161,321","189,393","154,218","159,591","146,967","153,980","153,540","159,892","100,606","53,310","74,764","176,588"
Asia,China,"769,941","821,397","712,656","889,917","940,811","1,071,344","1,103,762","1,141,901","1,350,749","1,311,208","1,716,624","1,700,928","1,766,518"
Asia,Pakistan,"45,577","47,216","39,904","38,347","47,142","64,998","61,989","60,455","66,352","41,016","45,913","71,285","43,794"
Asia,Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,193
Japan,Japan,"3,282,855","3,119,709","3,368,940","3,377,598","3,185,473","3,171,757","3,187,999","3,198,912","3,212,906","3,303,688","2,918,905","2,760,843","2,786,801"
Oceania,Australia,"119,473","93,094","99,440","102,590","88,416","95,198","87,464","42,817",0,0,0,0,0
Africa,Africa,"123,484","151,411","150,478","138,412","133,566","106,997","123,171","117,944","122,170","111,353","94,782","128,344","111,257"
Africa,South Africa,"123,484","151,409","148,424","138,109","132,239","105,209","122,081","117,297","121,239","110,184","93,370","125,700","108,725"
Africa,Egypt,0,2,"2,054",303,"1,327","1,788","1,090",647,931,774,720,"1,205","1,406"
Africa,Kenya,0,0,0,0,0,0,0,0,0,395,692,"1,060",781
Africa,Ghana,0,0,0,0,0,0,0,0,0,0,,379,345
